
		Copies and Copyright-Notice

User is not entitled to change or erase data sets of the RegulonDB
database or to eliminate copyright notices from RegulonDB. Furthermore,
User is not entitled to expand RegulonDB or to integrate RegulonDB partly
or as a whole into other databank systems, without prior written consent
from CCG-UNAM.

Citation

User is committed to cite properly the use of RegulonDB. The current most
update publication concerning RegulonDB is:
Socorro Gama-Castro, Verónica Jiménez-Jacinto, Martin Peralta-Gil,
Alberto Santos-Zavaleta, Monica I. Peñaloza-Spindola, Bruno Contreras-Moreira,
Juan Segura-Salazar, Luis Muñiz-Rascado, Irma Martínez-Flores, Heladia Salgado,
César Bonavides-Martínez, Cei Abreu-Goodger, Carlos Rodriguez-Penagos, Juan Miranda-Rios,
Enrique Morett, Enrique Merino, Araceli M. Huerta, Luis Treviño-Quintanilla and Julio Collado-Vides.
"RegulonDB (Version 6.0): gene regulation model of Escherichia coli K-12 
beyond transcription, active (experimental) annotated promoters and textpresso navigation"
Nucleic Acids Research, 2008, vol 36.  D120-D124

Release: 6.3 Date: 30-JAN-09
_________________________________________________________________________________

Columns:
	(1) Gene identifier assigned by RegulonDB
	(2) Gene name 
	(3) Blattner number (bnumber) of the gene
	(4) Gene left end position in the genome
	(5) Gene right end position in the genome
	(6) DNA strand where the gene is coded
	(7) Product name of the gene
ECK120001067	ribF	b0025	21407	22348	forward	bifunctional riboflavin kinase / FMN adenylyltransferase
ECK120000485	ileS	b0026	22391	25207	forward	isoleucyl-tRNA synthetase
ECK120000541	lspA	b0027	25207	25701	forward	prolipoprotein signal peptidase II
ECK120001068	fkpB	b0028	25826	26275	forward	peptidylprolyl isomerase
ECK120001069	ispH	b0029	26277	27227	forward	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase
ECK120001070	rihC	b0030	27293	28207	forward	ribonucleoside hydrolase 3
ECK120000200	dapB	b0031	28374	29195	forward	DapB
ECK120000130	carA	b0032	29651	30799	forward	CarA
ECK120000131	carB	b0033	30817	34038	forward	CarB
ECK120002708	caiF	b0034	34300	34695	forward	CaiF
ECK120002330	caiE	b0035	34781	35371	reverse	caiE protein
ECK120001510	caiD	b0036	35377	36270	reverse	crotonobetainyl-CoA hydratase/carnitine racemase
ECK120001511	caiC	b0037	36271	37839	reverse	carnitine-CoA ligase
ECK120001512	caiB	b0038	37898	39115	reverse	CaiB monomer
ECK120001513	caiA	b0039	39244	40386	reverse	crotonobetaine reductase
ECK120001514	caiT	b0040	40417	41931	reverse	CaiT carnitine BCCT transporter
ECK120001515	fixA	b0041	42403	43173	forward	probable flavoprotein subunit required for anaerobic carnitine metabolism
ECK120001516	fixB	b0042	43188	44129	forward	probable flavoprotein subunit required for anaerobic carnitine metabolism
ECK120001517	fixC	b0043	44180	45466	forward	flavoprotein (electron transport), possibly involved in anaerobic carnitine metabolism
ECK120001518	fixX	b0044	45463	45750	forward	putative ferredoxin possibly involved in anaerobic carnitine metabolism
ECK120001519	yaaU	b0045	45807	47138	forward	YaaU
ECK120001520	kefF	b0046	47246	47776	forward	regulator of KefC-mediated potassium transport
ECK120000514	kefC	b0047	47769	49631	forward	KefC potassium CPA2 transporter
ECK120000320	folA	b0048	49823	50302	forward	dihydrofolate reductase
ECK120000044	apaH	b0049	50380	51222	reverse	diadenosine tetraphosphatase
ECK120000043	apaG	b0050	51229	51606	reverse	hypothetical protein
ECK120000516	ksgA	b0051	51609	52430	reverse	S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase
ECK120000684	pdxA	b0052	52427	53416	reverse	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent
ECK120000974	surA	b0053	53416	54702	reverse	peptidyl-prolyl cis-trans isomerase (PPIase)
ECK120001521	lptD	b0054	54755	57109	reverse	LptD
ECK120001522	djlA	b0055	57364	58179	forward	chaperone with DnaK
ECK120002332	yabP	b0056	58474	59124	forward	predicted protein
ECK120002333	yabQ	b0057	59121	59279	forward	predicted protein
ECK120002331	rluA	b0058	59687	60346	reverse	23S rRNA and tRNA pseudouridine synthase
ECK120001071	hepA	b0059	60358	63264	reverse	RNA Polymerase (RNAP)-binding ATPase and RNAP recycling factor
ECK120000738	polB	b0060	63429	65780	reverse	DNA polymerase II
ECK120000051	araD	b0061	65855	66550	reverse	L-ribulose 5-phosphate 4-epimerase monomer
ECK120000048	araA	b0062	66835	68337	reverse	L-arabinose isomerase monomer
ECK120000049	araB	b0063	68348	70048	reverse	L-ribulokinase monomer
ECK120000050	araC	b0064	70387	71265	forward	AraC
ECK120001523	yabI	b0065	71351	72115	forward	conserved inner membrane protein
ECK120001524	thiQ	b0066	72229	72927	reverse	SfuC
ECK120001525	thiP	b0067	72911	74521	reverse	SfuB
ECK120001526	tbpA	b0068	74497	75480	reverse	thiamin-binding protein
ECK120002641	sroA		75516	75608	reverse	SroA small RNA
ECK120001999	sgrR	b0069	75644	77299	reverse	SgrR transcriptional dual regulator
ECK120002667	sgrS	b4577	77367	77593	forward	SgrS small RNA
ECK120033551	sgrT		77388	77519	forward	SgrT, regulator of PtsG activity
ECK120001692	setA	b0070	77621	78799	forward	SetA MFS transporter
ECK120001527	leuD	b0071	78848	79453	reverse	LeuD
ECK120001528	leuC	b0072	79464	80864	reverse	LeuC
ECK120001529	leuB	b0073	80867	81958	reverse	LeuB
ECK120001204	leuA	b0074	81958	83529	reverse	2-isopropylmalate synthase
ECK120001253	leuL	b0075	83622	83708	reverse	leu operon leader peptide
ECK120000524	leuO	b0076	84368	85312	forward	LeuO transcriptional dual activator
ECK120000493	ilvI	b0077	85630	87354	forward	IlvI
ECK120000492	ilvH	b0078	87357	87848	forward	IlvH
ECK120001247	fruL		87860	87946	forward	
ECK120000332	fruR	b0080	88028	89032	forward	FruR transcriptional dual regulator
ECK120001072	mraZ	b0081	89634	90092	forward	conserved protein
ECK120001073	mraW	b0082	90094	91035	forward	S-adenosyl-dependent methyltransferase
ECK120001074	ftsL	b0083	91032	91397	forward	essential cell division protein FtsL
ECK120000335	ftsI	b0084	91413	93179	forward	essential cell division protein FtsI; penicillin-binding protein 3
ECK120000614	murE	b0085	93166	94653	forward	UDP-N-acetylmuramoylalanyl-D-glutamate 2,6-diaminopimelate ligase
ECK120000615	murF	b0086	94650	96008	forward	D-alanyl-D-alanine-adding enzyme
ECK120000597	mraY	b0087	96002	97084	forward	phospho-N-acetylmuramoyl-pentapeptide transferase
ECK120000613	murD	b0088	97087	98403	forward	UDP-<i>N</i>-acetylmuramoyl-L-alanine:D-glutamate ligase
ECK120000338	ftsW	b0089	98403	99647	forward	essential cell division protein FtsW
ECK120000616	murG	b0090	99644	100711	forward	N-acetylglucosaminyl transferase
ECK120000612	murC	b0091	100765	102240	forward	UDP-N-acetylmuramate-alanine ligase
ECK120000208	ddlB	b0092	102233	103153	forward	ddlB
ECK120000336	ftsQ	b0093	103155	103985	forward	essential cell division protein FtsQ
ECK120000333	ftsA	b0094	103982	105244	forward	essential cell division protein FtsA
ECK120000341	ftsZ	b0095	105305	106456	forward	essential cell division protein FtsZ
ECK120000259	lpxC	b0096	106557	107474	forward	UDP-3-O-acyl-N-acetylglucosamine deacetylase
ECK120001075	secM	b0097	107705	108217	forward	secretion monitor that regulates SecA translation (General Secretory Pathway)
ECK120000925	secA	b0098	108279	110984	forward	SecA
ECK120000619	mutT	b0099	111044	111433	forward	dGTP pyrophosphohydrolase
ECK120002709	Phantom Gene		111564	111698	reverse	
ECK120002191	yacG	b0101	111649	111846	reverse	conserved hypothetical protein with a zinc finger
ECK120002190	yacF	b0102	111856	112599	reverse	conserved protein
ECK120002189	coaE	b0103	112599	113219	reverse	dephospho-CoA kinase
ECK120000415	guaC	b0104	113444	114487	forward	GuaC
ECK120002710	Phantom Gene		114407	114514	reverse	
ECK120001732	hofC	b0106	114522	115724	reverse	protein transport protein HofC
ECK120002011	hofB	b0107	115714	117099	reverse	protein involved in plasmid replication
ECK120002012	ppdD	b0108	117109	117549	reverse	prepilin peptidase dependent protein
ECK120001500	nadC	b0109	117752	118645	reverse	quinolinate phosphoribosyltransferase (decarboxylating) monomer
ECK120000037	ampD	b0110	118733	119284	forward	N-acetyl-anhydromuramyl-L-alanine-amidase
ECK120000038	ampE	b0111	119281	120135	forward	predicted inner membrane protein
ECK120000080	aroP	b0112	120178	121551	reverse	AroP  phenylalanine/tyrosine/tryptophan APC transporter
ECK120001076	pdhR	b0113	122092	122856	forward	PdhR transcriptional dual regulator
ECK120002605	tp2		122697	122857	reverse	Tp2 small RNA
ECK120000021	aceE	b0114	123017	125680	forward	subunit of E1p component of pyruvate dehydrogenase complex
ECK120000022	aceF	b0115	125695	127587	forward	lipoate acetyltransferase/dihydrolipoamide acetyltransferase
ECK120000536	lpd	b0116	127912	129336	forward	E3 monomer
ECK120002192	yacH	b0117	129407	131260	reverse	putative membrane protein
ECK120002193	acnB	b0118	131615	134212	forward	aconitase B/aconitase B/aconitase B
ECK120002328	yacL	b0119	134388	134750	forward	conserved protein
ECK120000951	speD	b0120	134788	135582	reverse	adenosylmethionine decarboxylase, proenzyme
ECK120000952	speE	b0121	135598	136464	reverse	SpeE
ECK120001077	yacC	b0122	136570	136917	reverse	predicted protein
ECK120002194	cueO	b0123	137083	138633	forward	multicopper oxidase with role in copper homeostasis
ECK120000362	gcd	b0124	138835	141225	reverse	glucose dehydrogenase
ECK120002443	hpt	b0125	141431	141967	forward	hypoxanthine-guanine phosphoribosyltransferase
ECK120002195	can	b0126	142008	142670	reverse	carbonic anhydrase 2 monomer
ECK120002196	yadG	b0127	142779	143705	forward	YadG
ECK120002197	yadH	b0128	143702	144472	forward	YadH
ECK120002198	yadI	b0129	144577	145017	forward	AgaX
ECK120001687	yadE	b0130	145081	146310	forward	predicted polysaccharide deacetylase lipoprotein
ECK120001685	panD	b0131	146314	146694	reverse	PanD proenzyme, &pi; protein
ECK120001686	yadD	b0132	146968	147870	forward	predicted transposase
ECK120001684	panC	b0133	147944	148795	reverse	pantothenate synthetase monomer
ECK120001618	panB	b0134	148807	149601	reverse	3-methyl-2-oxobutanoate hydroxymethyltransferase monomer
ECK120001621	yadC	b0135	149715	150953	reverse	predicted fimbrial-like adhesin protein
ECK120002200	yadK	b0136	151003	151599	reverse	predicted fimbrial-like adhesin protein
ECK120002201	yadL	b0137	151626	152231	reverse	predicted fimbrial-like adhesin protein
ECK120002202	yadM	b0138	152243	152812	reverse	predicted fimbrial-like adhesin protein
ECK120001897	htrE	b0139	152829	155426	reverse	putative outer membrane porin protein involved in fimbrial assembly
ECK120001898	ecpD	b0140	155461	156201	reverse	probable pilin chaperone similar to PapD
ECK120002203	yadN	b0141	156299	156883	reverse	predicted fimbrial-like adhesin protein
ECK120001342	folK	b0142	157253	157732	reverse	6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase
ECK120000683	pcnB	b0143	157729	159126	reverse	poly(A) polymerase I
ECK120001331	yadB	b0144	159186	160112	reverse	glutamyl-Q tRNA(Asp) synthetase
ECK120000224	dksA	b0145	160149	160604	reverse	RNA polymerase-binding transcription factor
ECK120000938	sfsA	b0146	160782	161486	reverse	predicted DNA-binding transcriptional regulator of maltose metabolism
ECK120002205	ligT	b0147	161501	162031	reverse	2'-5' RNA ligase
ECK120002204	hrpB	b0148	162105	164534	forward	predicted ATP-dependent helicase
ECK120000598	mrcB	b0149	164730	167264	forward	MrcB
ECK120000296	fhuA	b0150	167484	169727	forward	FhuA outer membrane protein receptor for ferrichrome, colicin M, and phages T1, T5, and phi80
ECK120000298	fhuC	b0151	169778	170575	forward	FhuC
ECK120000299	fhuD	b0152	170575	171465	forward	FhuD
ECK120000297	fhuB	b0153	171462	173444	forward	FhuB
ECK120000425	hemL	b0154	173602	174882	reverse	glutamate-1-semialdehyde aminotransferase
ECK120002206	clcA	b0155	175107	176528	forward	EriC chloride ion ClC channel
ECK120002207	erpA	b0156	176610	176954	forward	essential respiratory protein A
ECK120002208	yadS	b0157	177001	177624	reverse	conserved inner membrane protein
ECK120002209	btuF	b0158	177662	178462	reverse	periplasmic vitamin B12 binding protein
ECK120001078	mtn	b0159	178455	179153	reverse	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase monomer
ECK120000219	dgt	b0160	179237	180754	forward	Dgt
ECK120000456	degP	b0161	180884	182308	forward	DegP
ECK120002210	cdaR	b0162	182463	183620	forward	CdaR transcriptional activator
ECK120002211	yaeH	b0163	183709	184095	reverse	conserved protein
ECK120002212	yaeI	b0164	184257	185069	reverse	phosphodiesterase
ECK120002711	Phantom Gene		184987	185118	reverse	
ECK120000201	dapD	b0166	185123	185947	reverse	tetrahydrodipicolinate succinylase subunit
ECK120001377	glnD	b0167	185978	188650	reverse	uridylyltransferase/uridylyltransferase/uridylyl-removing enzyme
ECK120000563	map	b0168	188712	189506	reverse	methionine aminopeptidase
ECK120002606	tff	b4414	189712	189847	forward	T44 predicted small RNA or attenuator
ECK120000892	rpsB	b0169	189874	190599	forward	30S ribosomal subunit protein S2
ECK120001022	tsf	b0170	190857	191708	forward	protein chain elongation factor EF-Ts
ECK120001493	pyrH	b0171	191855	192580	forward	
ECK120000329	frr	b0172	192872	193429	forward	ribosome recycling factor
ECK120002371	dxr	b0173	193521	194717	forward	Dxr
ECK120002712	ispU	b0174	194903	195664	forward	subunit of undecaprenyl diphosphate synthase
ECK120000135	cdsA	b0175	195677	196534	forward	CDP-diglyceride synthetase
ECK120002290	rseP	b0176	196546	197898	forward	RseP zinc protease
ECK120002713	bamA	b0177	197928	200360	forward	YaeT
ECK120000448	hlpA	b0178	200482	200967	forward	periplasmic chaperone
ECK120000310	lpxD	b0179	200971	201996	forward	UDP-3-O-[3-hydroxymyristoyl]glucosamine N-acetyltransferase
ECK120001257	fabZ	b0180	202101	202556	forward	FabZ
ECK120000538	lpxA	b0181	202560	203348	forward	LpxA
ECK120000539	lpxB	b0182	203348	204496	forward	LpxB
ECK120000852	rnhB	b0183	204493	205089	forward	RNAse HII,  degrades RNA of DNA-RNA hybrids
ECK120000232	dnaE	b0184	205126	208608	forward	DNA polymerase III, &alpha; subunit
ECK120001591	accA	b0185	208621	209580	forward	AccA
ECK120002714	ldcC	b0186	209679	211820	forward	LdcC
ECK120002715	yaeR	b0187	211877	212266	forward	predicted lyase
ECK120002716	tilS	b0188	212331	213629	forward	tRNA<sup>Ile</sup>-lysidine synthetase
ECK120002717	rof	b0189	213678	213932	reverse	modulator of Rho-dependent transcription termination
ECK120002691	yaeP	b4406	213925	214125	reverse	conserved protein
ECK120002718	yaeQ	b0190	214291	214836	forward	conserved protein
ECK120002223	yaeJ	b0191	214833	215255	forward	conserved protein
ECK120002038	nlpE	b0192	215269	215979	forward	outer membrane lipoprotein NlpE, involved in surface sensing
ECK120002039	yaeF	b0193	216179	217003	reverse	predicted lipoprotein
ECK120000761	proS	b0194	217057	218775	reverse	prolyl-tRNA synthetase
ECK120001459	yaeB	b0195	218887	219594	reverse	conserved protein
ECK120001458	rcsF	b0196	219591	219995	reverse	RcsF--phosphorelay glucose and zinc sensor
ECK120001460	metQ	b0197	220113	220928	reverse	MetQ
ECK120001676	metI	b0198	220968	221621	reverse	MetI
ECK120001569	metN	b0199	221614	222645	reverse	MetN
ECK120001675	gmhB	b0200	222833	223408	forward	D,D-heptose 1,7-bisphosphate phosphatase
ECK120002532	rrsH	b0201	223771	225312	forward	rrsH 16S ribosomal RNA
ECK120002487	ileV	b0202	225381	225457	forward	tRNA<SUP>ileV</SUP>
ECK120002453	alaV	b0203	225500	225575	forward	tRNA<SUP>alaV</SUP>
ECK120002525	rrlH	b0204	225759	228662	forward	rrlH 23S ribosomal RNA
ECK120002518	rrfH	b0205	228756	228875	forward	rrfH 5S ribosomal RNA
ECK120002467	aspU	b0206	228928	229004	forward	tRNA<SUP>aspU</SUP>
ECK120001592	dkgB	b0207	229167	229970	forward	4-nitrobenzaldehyde reductase/methylglyoxal reductase/2,5-diketo-D-gluconate reductase B
ECK120001593	yafC	b0208	229967	230881	reverse	predicted DNA-binding transcriptional regulator  LYSR-type
ECK120001594	yafD	b0209	231122	231922	forward	conserved protein
ECK120001595	yafE	b0210	231926	232549	forward	predicted S-adenosylmethionine-dependent methyltransferase
ECK120000240	mltD	b0211	232597	233955	reverse	MltD membrane-bound lytic murein transglycosylase D
ECK120002719	gloB	b0212	234027	234782	reverse	glyoxalase II
ECK120002720	yafS	b0213	234816	235538	forward	predicted S-adenosyl-L-methionine-dependent methyltransferase
ECK120000851	rnhA	b0214	235535	236002	reverse	RNase HI, degrades RNA of DNA-RNA hybrids, participates in DNA replication
ECK120000237	dnaQ	b0215	236067	236798	forward	DNA polymerase III, &epsilon; subunit
ECK120002468	aspV	b0216	236931	237007	forward	tRNA<SUP>aspV</SUP>
ECK120002721	yafT	b0217	237335	238120	forward	predicted aminopeptidase
ECK120030067	ykfM	b4586	238257	238736	reverse	hypothetical protein
ECK120002607	C0067		238462	238586	forward	C0067 small RNA
ECK120002722	yafU	b0218	238746	239084	reverse	predicted inner membrane protein
ECK120016283	yafF		239190	239378	forward	conserved protein
ECK120002723	yafV	b0219	239419	240189	reverse	predicted C-N hydrolase family amidase, NAD(P)-binding
ECK120002724	ivy	b0220	240343	240816	forward	inhibitor of vertebrate C-type lysozyme
ECK120002725	fadE	b0221	240859	243303	reverse	acyl-CoA dehydrogenase
ECK120002726	lpcA	b0222	243543	244121	forward	D-sedoheptulose 7-phosphate isomerase
ECK120002727	yafJ	b0223	244327	245094	forward	predicted amidotransferase
ECK120002728	yafK	b0224	245065	245805	reverse	conserved protein
ECK120002729	yafQ	b0225	245961	246239	reverse	toxin of the YafQ-DinJ toxin-antitoxin system
ECK120002730	dinJ	b0226	246242	246502	reverse	antitoxin of YafQ-DinJ toxin-antitoxin system
ECK120002731	yafL	b0227	246712	247461	forward	predicted lipoprotein and C40 family peptidase
ECK120002732	yafM	b0228	247637	248134	forward	conserved protein
ECK120002733	lfhA		248358	250070	reverse	flagellar system protein, promoterless fragment
ECK120002734	lafU		250072	250827	forward	flagellar system protein, promoterless fragment
ECK120002735	dinB	b0231	250898	251953	forward	DNA polymerase IV (Y-family DNA polymerase; translesion DNA synthesis)
ECK120002736	yafN	b0232	252005	252298	forward	predicted antitoxin of te YafO-YafN toxin-antitoxin system
ECK120002737	yafO	b0233	252301	252699	forward	predicted toxin of the YafO-YafN toxin-antitoxin system
ECK120002738	yafP	b0234	252709	253161	forward	predicted acyltransferase with acyl-CoA N-acyltransferase domain
ECK120002739	ykfJ		253467	253733	forward	conserved protein
ECK120001452	prfH		253702	254202	forward	predicted peptide chain release factor
ECK120000687	pepD	b0237	254259	255716	reverse	PepD
ECK120000407	gpt	b0238	255977	256435	forward	Gpt
ECK120001079	frsA	b0239	256527	257771	forward	fermentation/respiration switch protein
ECK120001080	crl	b0240	257829	258230	forward	Crl transcriptional regulator
ECK120000720	phoE	b0241	258269	259324	reverse	PhoE
ECK120000759	proB	b0242	259612	260715	forward	ProB
ECK120000758	proA	b0243	260727	261980	forward	ProA
ECK120002546	thrW	b0244	262095	262170	forward	tRNA<SUP>thrW</SUP>
ECK120002740	ykfI	b0245	262552	262893	reverse	toxin of the YkfI-YafW toxin-antitoxin pair
ECK120002741	yafW	b0246	262914	263231	reverse	antitoxin of the YkfI-YafW toxin-antitoxin pair
ECK120016284	ykfH	b4504	263250	263471	reverse	predicted protein
ECK120002742	ykfG	b0247	263480	263956	reverse	CP4-6 prophage; predicted DNA repair protein
ECK120002743	yafX	b0248	263972	264430	reverse	CP4-6 prophage; predicted protein
ECK120002744	ykfF	b0249	264528	264767	reverse	CP4-6 prophage; predicted protein
ECK120002745	ykfB	b0250	264844	265311	reverse	CP4-6 prophage; predicted protein
ECK120002746	yafY	b0251	265334	265777	reverse	CP4-6 prophage; inner membrane lipoprotein
ECK120033231	ykfL		265777	265998	reverse	
ECK120033232	ykfK		266000	266191	reverse	
ECK120002747	yafZ	b0252	266408	267229	reverse	CP4-6 prophage; conserved protein
ECK120002748	ykfA	b0253	267321	268184	reverse	CP4-6 prophage; predicted GTP-binding protein
ECK120002749	perR	b0254	268513	269406	reverse	PerR transcriptional regulator
ECK120002750	insN-1	b0255	269466	269870	forward	CP4-6 prophage; partial regulator of insertion element IS911A
ECK120002751	insI-1	b0256	269827	270978	forward	transposase of IS30
ECK120002752	insO-1	b0257	271054	271479	forward	CP4-6 prophage; partial transposase of insertion element IS911A, interrupted by insertion of IS30 element
ECK120002753	ykfC	b0258	272071	273216	forward	CP4-6 prophage; conserved protein
ECK120002754	insH-1	b0259	273325	274341	reverse	IS5 transposase and trans-activator
ECK120002755	mmuP	b0260	274549	275952	forward	MmuP APC transporter
ECK120002756	mmuM	b0261	275939	276871	forward	homocysteine methyltransferase
ECK120002215	afuC	b0262	276980	278026	reverse	CP4-6 prophage; predicted ferric transporter subunit/ATP-binding component of ABC superfamily
ECK120002757	afuB	b0263	278038	278400	reverse	AfuB
ECK120023913	insAB-2		278401	279099	reverse	InsAB' transposase
ECK120002758	insB-2	b0264	278402	278905	reverse	IS1 protein InsB
ECK120002759	insA-2	b0265	278824	279099	reverse	
ECK120016285	ykgN	b4505	279248	279586	reverse	predicted IS protein
ECK120002214	yagB	b0266	279609	279959	reverse	CP4-6 prophage; conserved protein
ECK120002213	yagA	b0267	280053	281207	reverse	CP4-6 prophage; predicted DNA-binding transcriptional regulator
ECK120002760	yagE	b0268	281481	282410	forward	CP4-6 prophage; predicted lyase/synthase
ECK120002761	yagF	b0269	282425	284392	forward	CP4-6 prophage; predicted dehydratase
ECK120002762	yagG	b0270	284619	286001	forward	YagG GPH Transporter
ECK120002763	yagH	b0271	286013	287623	forward	putative &beta;-xylosidase
ECK120002764	yagI	b0272	287628	288386	reverse	CP4-6 prophage; predicted DNA-binding transcriptional regulator
ECK120000063	argF	b0273	288525	289529	reverse	ArgF
ECK120023914	insAB-3		289872	290570	reverse	
ECK120002765	insB-3	b0274	289873	290376	reverse	
ECK120002766	insA-3	b0275	290295	290570	reverse	
ECK120002767	yagJ	b0276	290724	291455	forward	CP4-6 prophage; predicted protein
ECK120002768	yagK	b0277	291546	292172	reverse	CP4-6 prophage; conserved protein
ECK120002769	yagL	b0278	292444	293142	reverse	CP4-6 prophage; DNA-binding protein
ECK120002770	yagM	b0279	293169	294023	reverse	CP4-6 prophage; predicted protein
ECK120002771	yagN	b0280	294363	294803	reverse	CP4-6 prophage; predicted protein
ECK120002772	intF	b0281	294920	296320	reverse	CP4-6 prophage; predicted phage integrase
ECK120002773	yagP	b0282	296605	297015	reverse	predicted transcriptional regulator LYSR-type
ECK120002774	yagQ	b0283	296994	297950	reverse	conserved protein
ECK120002775	yagR	b0284	297960	300158	reverse	putative molybdenum cofactor-binding oxidoreductase
ECK120002776	yagS	b0285	300155	301111	reverse	putative oxidoreductase, FAD-binding domain
ECK120002777	yagT	b0286	301108	301797	reverse	putative oxidoreductase, Fe-S subunit
ECK120002778	yagU	b0287	302215	302829	forward	conserved inner membrane protein
ECK120002779	ykgJ	b0288	303077	303406	reverse	predicted ferredoxin
ECK120002780	yagV	b0289	303719	304429	reverse	conserved protein
ECK120002781	yagW	b0290	304398	306041	reverse	predicted receptor
ECK120002782	yagX	b0291	306031	308556	reverse	predicted aromatic compound dioxygenase
ECK120002783	matC	b0292	308582	309250	reverse	predicted protein
ECK120002784	matB	b0293	309308	309895	reverse	conserved fimbrillin
ECK120002785	matA	b0294	309970	310560	reverse	predicted regulator
ECK120002786	ykgL	b0295	311336	311563	forward	predicted protein
ECK120016286	ykgO	b4506	311598	311738	reverse	predicted ribosomal protein
ECK120002787	ykgM	b0296	311738	312001	reverse	predicted ribosomal protein
ECK120002057	eaeH		313581	314468	forward	attaching and effacing protein homolog, pathogenesis factor
ECK120002788	insE-1	b0298	314506	314814	forward	IS3 element protein InsE
ECK120023906	insEF-1		314506	315677	forward	IS3 element transposase
ECK120002789	insF-1	b0299	314811	315677	forward	IS3 element protein InsF
ECK120002790	ykgA	b0300	315674	316360	reverse	predicted DNA-binding transcriptional regulator
ECK120002791	ykgB	b0301	316950	317543	reverse	conserved inner membrane protein
ECK120002792	ykgI	b0303	317555	317791	reverse	predicted protein
ECK120002793	ykgC	b0304	317900	319225	reverse	predicted oxidoreductase with FAD/NAD(P)-binding domain and dimerization domain
ECK120002794	ykgD	b0305	319451	320305	forward	predicted DNA-binding transcriptional regulator
ECK120002795	ykgE	b0306	320832	321551	forward	predicted oxidoreductase
